input_name,query_used,param,matched_name,ticker,exchange,cik,http_status
Name,Name,q,N/A,N/A,N/A,,200
Walmart,Walmart,q,N/A,N/A,N/A,,200
Amazon,Amazon,q,N/A,N/A,N/A,,200
State Grid,State Grid,q,N/A,N/A,N/A,,200
Saudi Aramco,Saudi Aramco,q,N/A,N/A,N/A,,200
China National Petroleum,China National Petroleum,q,N/A,N/A,N/A,,200
Sinopec Group,Sinopec Group,q,N/A,N/A,N/A,,200
UnitedHealth Group,UnitedHealth Group,q,N/A,N/A,N/A,,200
Apple,Apple,q,N/A,N/A,N/A,,200
CVS Health,CVS Health,q,N/A,N/A,N/A,,200
Berkshire Hathaway,Berkshire Hathaway,q,N/A,N/A,N/A,,200
McKesson,McKesson,q,N/A,N/A,N/A,,200
Volkswagen,Volkswagen,q,N/A,N/A,N/A,,200
Alphabet,Alphabet,q,N/A,N/A,N/A,,200
Exxon Mobil,Exxon Mobil,q,N/A,N/A,N/A,,200
Toyota Motor,Toyota Motor,q,N/A,N/A,N/A,,200
China State Construction Engineering,China State Construction Engineering,q,N/A,N/A,N/A,,200
Cencora,Cencora,q,N/A,N/A,N/A,,200
Shell,Shell,q,N/A,N/A,N/A,,200
JPMorgan Chase,JPMorgan Chase,q,N/A,N/A,N/A,,200
Costco Wholesale,Costco Wholesale,q,N/A,N/A,N/A,,200
Cigna,Cigna,q,N/A,N/A,N/A,,200
Microsoft,Microsoft,q,N/A,N/A,N/A,,200
Trafigura Group,Trafigura Group,q,N/A,N/A,N/A,,200
Glencore,Glencore,q,N/A,N/A,N/A,,200
Cardinal Health,Cardinal Health,q,N/A,N/A,N/A,,200
Industrial & Commercial Bank of China,Industrial & Commercial Bank of China,q,N/A,N/A,N/A,,200
Samsung Electronics,Samsung Electronics,q,N/A,N/A,N/A,,200
Hon Hai Precision Industry,Hon Hai Precision Industry,q,N/A,N/A,N/A,,200
Chevron,Chevron,q,N/A,N/A,N/A,,200
Agricultural Bank of China,Agricultural Bank of China,q,N/A,N/A,N/A,,200
China Construction Bank,China Construction Bank,q,N/A,N/A,N/A,,200
TotalEnergies,TotalEnergies,q,N/A,N/A,N/A,,200
BP,BP,q,N/A,N/A,N/A,,200
Bank of America,Bank of America,q,N/A,N/A,N/A,,200
General Motors,General Motors,q,N/A,N/A,N/A,,200
Ford Motor,Ford Motor,q,N/A,N/A,N/A,,200
Elevance Health,Elevance Health,q,N/A,N/A,N/A,,200
Bank of China,Bank of China,q,N/A,N/A,N/A,,200
Citigroup,Citigroup,q,N/A,N/A,N/A,,200
Stellantis,Stellantis,q,N/A,N/A,N/A,,200
Meta Platforms,Meta Platforms,q,N/A,N/A,N/A,,200
Centene,Centene,q,N/A,N/A,N/A,,200
China Railway Engineering Group,China Railway Engineering Group,q,N/A,N/A,N/A,,200
JD.com,JD.com,q,N/A,N/A,N/A,,200
China Life Insurance,China Life Insurance,q,N/A,N/A,N/A,,200
Home Depot,Home Depot,q,N/A,N/A,N/A,,200
Ping An Insurance,Ping An Insurance,q,N/A,N/A,N/A,,200
Mercedes-Benz Group,Mercedes-Benz Group,q,N/A,N/A,N/A,,200
BMW Group,BMW Group,q,N/A,N/A,N/A,,200
Fannie Mae,Fannie Mae,q,N/A,N/A,N/A,,200
China Railway Construction,China Railway Construction,q,N/A,N/A,N/A,,200
Walgreens Boots Alliance,Walgreens Boots Alliance,q,N/A,N/A,N/A,,200
Kroger,Kroger,q,N/A,N/A,N/A,,200
BNP Paribas,BNP Paribas,q,N/A,N/A,N/A,,200
Banco Santander,Banco Santander,q,N/A,N/A,N/A,,200
HSBC Holdings,HSBC Holdings,q,N/A,N/A,N/A,,200
Phillips 66,Phillips 66,q,N/A,N/A,N/A,,200
China Mobile Communications,China Mobile Communications,q,N/A,N/A,N/A,,200
Honda Motor,Honda Motor,q,N/A,N/A,N/A,,200
Marathon Petroleum,Marathon Petroleum,q,N/A,N/A,N/A,,200
China Communications Construction,China Communications Construction,q,N/A,N/A,N/A,,200
CITIC Group,CITIC Group,q,N/A,N/A,N/A,,200
Alibaba Group Holding,Alibaba Group Holding,q,N/A,N/A,N/A,,200
Verizon Communications,Verizon Communications,q,N/A,N/A,N/A,,200
China National Offshore Oil,China National Offshore Oil,q,N/A,N/A,N/A,,200
Nvidia,Nvidia,q,N/A,N/A,N/A,,200
China Resources,China Resources,q,N/A,N/A,N/A,,200
Hyundai Motor,Hyundai Motor,q,N/A,N/A,N/A,,200
�lectricit� de France,�lectricit� de France,q,N/A,N/A,N/A,,200
Goldman Sachs Group,Goldman Sachs Group,q,N/A,N/A,N/A,,200
Wells Fargo,Wells Fargo,q,N/A,N/A,N/A,,200
Deutsche Telekom,Deutsche Telekom,q,N/A,N/A,N/A,,200
China Baowu Steel Group,China Baowu Steel Group,q,N/A,N/A,N/A,,200
Valero Energy,Valero Energy,q,N/A,N/A,N/A,,200
Comcast,Comcast,q,N/A,N/A,N/A,,200
Allianz,Allianz,q,N/A,N/A,N/A,,200
State Farm Insurance,State Farm Insurance,q,N/A,N/A,N/A,,200
AT&T,AT&T,q,N/A,N/A,N/A,,200
Mitsubishi,Mitsubishi,q,N/A,N/A,N/A,,200
Freddie Mac,Freddie Mac,q,N/A,N/A,N/A,,200
Hengli Group,Hengli Group,q,N/A,N/A,N/A,,200
Shandong Energy Group,Shandong Energy Group,q,N/A,N/A,N/A,,200
Huawei Investment & Holding,Huawei Investment & Holding,q,N/A,N/A,N/A,,200
China Southern Power Grid,China Southern Power Grid,q,N/A,N/A,N/A,,200
Humana,Humana,q,N/A,N/A,N/A,,200
China Minmetals,China Minmetals,q,N/A,N/A,N/A,,200
Gazprom,Gazprom,q,N/A,N/A,N/A,,200
Reliance Industries,Reliance Industries,q,N/A,N/A,N/A,,200
