input_name,query_used,param,matched_name,ticker,exchange,cik,http_status,endpoint_used,source
Walmart,Walmart,q,N/A,N/A,N/A,,ERR,,none
Amazon,Amazon,q,N/A,N/A,N/A,,ERR,,none
State Grid,State Grid,q,N/A,N/A,N/A,,ERR,,none
Saudi Aramco,Saudi Aramco,q,N/A,N/A,N/A,,ERR,,none
China National Petroleum,China National Petroleum,q,N/A,N/A,N/A,,ERR,,none
Sinopec Group,Sinopec Group,q,N/A,N/A,N/A,,ERR,,none
UnitedHealth Group,UnitedHealth Group,q,N/A,N/A,N/A,,ERR,,none
Apple,Apple,q,N/A,N/A,N/A,,ERR,,none
CVS Health,CVS Health,q,N/A,N/A,N/A,,ERR,,none
Berkshire Hathaway,Berkshire Hathaway,q,N/A,N/A,N/A,,ERR,,none
McKesson,McKesson,q,N/A,N/A,N/A,,ERR,,none
Volkswagen,Volkswagen,q,N/A,N/A,N/A,,ERR,,none
Alphabet,Alphabet,q,N/A,N/A,N/A,,ERR,,none
Exxon Mobil,Exxon Mobil,q,N/A,N/A,N/A,,ERR,,none
Toyota Motor,Toyota Motor,q,N/A,N/A,N/A,,ERR,,none
China State Construction Engineering,China State Construction Engineering,q,N/A,N/A,N/A,,ERR,,none
Cencora,Cencora,q,N/A,N/A,N/A,,ERR,,none
Shell,Shell,q,N/A,N/A,N/A,,ERR,,none
JPMorgan Chase,JPMorgan Chase,q,N/A,N/A,N/A,,ERR,,none
Costco Wholesale,Costco Wholesale,q,N/A,N/A,N/A,,ERR,,none
Cigna,Cigna,q,N/A,N/A,N/A,,ERR,,none
Microsoft,Microsoft,q,N/A,N/A,N/A,,ERR,,none
Trafigura Group,Trafigura Group,q,N/A,N/A,N/A,,ERR,,none
Glencore,Glencore,q,N/A,N/A,N/A,,ERR,,none
Cardinal Health,Cardinal Health,q,N/A,N/A,N/A,,ERR,,none
Industrial & Commercial Bank of China,Industrial & Commercial Bank of China,q,N/A,N/A,N/A,,ERR,,none
Samsung Electronics,Samsung Electronics,q,N/A,N/A,N/A,,ERR,,none
Hon Hai Precision Industry,Hon Hai Precision Industry,q,N/A,N/A,N/A,,ERR,,none
Chevron,Chevron,q,N/A,N/A,N/A,,ERR,,none
Agricultural Bank of China,Agricultural Bank of China,q,N/A,N/A,N/A,,ERR,,none
China Construction Bank,China Construction Bank,q,N/A,N/A,N/A,,ERR,,none
TotalEnergies,TotalEnergies,q,N/A,N/A,N/A,,ERR,,none
BP,BP,q,N/A,N/A,N/A,,ERR,,none
Bank of America,Bank of America,q,N/A,N/A,N/A,,ERR,,none
General Motors,General Motors,q,N/A,N/A,N/A,,ERR,,none
Ford Motor,Ford Motor,q,N/A,N/A,N/A,,ERR,,none
Elevance Health,Elevance Health,q,N/A,N/A,N/A,,ERR,,none
Bank of China,Bank of China,q,N/A,N/A,N/A,,ERR,,none
Citigroup,Citigroup,q,N/A,N/A,N/A,,ERR,,none
Stellantis,Stellantis,q,N/A,N/A,N/A,,ERR,,none
Meta Platforms,Meta Platforms,q,N/A,N/A,N/A,,ERR,,none
Centene,Centene,q,N/A,N/A,N/A,,ERR,,none
China Railway Engineering Group,China Railway Engineering Group,q,N/A,N/A,N/A,,ERR,,none
JD.com,JD.com,q,N/A,N/A,N/A,,ERR,,none
China Life Insurance,China Life Insurance,q,N/A,N/A,N/A,,ERR,,none
Home Depot,Home Depot,q,N/A,N/A,N/A,,ERR,,none
Ping An Insurance,Ping An Insurance,q,N/A,N/A,N/A,,ERR,,none
Mercedes-Benz Group,Mercedes-Benz Group,q,N/A,N/A,N/A,,ERR,,none
BMW Group,BMW Group,q,N/A,N/A,N/A,,ERR,,none
Fannie Mae,Fannie Mae,q,N/A,N/A,N/A,,ERR,,none
China Railway Construction,China Railway Construction,q,N/A,N/A,N/A,,ERR,,none
Walgreens Boots Alliance,Walgreens Boots Alliance,q,N/A,N/A,N/A,,ERR,,none
Kroger,Kroger,q,N/A,N/A,N/A,,ERR,,none
BNP Paribas,BNP Paribas,q,N/A,N/A,N/A,,ERR,,none
Banco Santander,Banco Santander,q,N/A,N/A,N/A,,ERR,,none
HSBC Holdings,HSBC Holdings,q,N/A,N/A,N/A,,ERR,,none
Phillips 66,Phillips 66,q,N/A,N/A,N/A,,ERR,,none
China Mobile Communications,China Mobile Communications,q,N/A,N/A,N/A,,ERR,,none
Honda Motor,Honda Motor,q,N/A,N/A,N/A,,ERR,,none
Marathon Petroleum,Marathon Petroleum,q,N/A,N/A,N/A,,ERR,,none
China Communications Construction,China Communications Construction,q,N/A,N/A,N/A,,ERR,,none
CITIC Group,CITIC Group,q,N/A,N/A,N/A,,ERR,,none
Alibaba Group Holding,Alibaba Group Holding,q,N/A,N/A,N/A,,ERR,,none
Verizon Communications,Verizon Communications,q,N/A,N/A,N/A,,ERR,,none
China National Offshore Oil,China National Offshore Oil,q,N/A,N/A,N/A,,ERR,,none
Nvidia,Nvidia,q,N/A,N/A,N/A,,ERR,,none
China Resources,China Resources,q,N/A,N/A,N/A,,ERR,,none
Hyundai Motor,Hyundai Motor,q,N/A,N/A,N/A,,ERR,,none
�lectricit� de France,�lectricit� de France,q,N/A,N/A,N/A,,ERR,,none
